Altium Designer Pick and Place Locations
C:\Users\FilipK\OneDrive - Vontier\Documents\APSS-Reference-PCBs\PSat\PSU\.\Fabrication Files\Pick Place\PSU-2.0.7-Pick Place.txt

========================================================================================================================
File Design Information:

Date:       03/07/25
Time:       19:23
Revision:   0bcf92943ea9eba4431875f4d14186ce677b247b
Variant:    No variations
Units used: mil

Designator Comment                            Layer       Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                          
C8         22uF                               TopLayer    CAPACITOR_0805_2012M-70N 622.558       1030.980      90       "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C10        22uF                               TopLayer    CAPACITOR_0805_2012M-70N 715.083       1320.408      270      "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
D1         "LTST-C190 Series"                 TopLayer    LED_0603_1608M_0.80MM    1577.737      270.957       270      "Diode - LED, 0603"                                                                                                  
C1_3V3     22uF                               TopLayer    CAPACITOR_0805_2012M-70N 912.568       1405.183      90       "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C1_1V8     22uF                               TopLayer    CAPACITOR_0805_2012M-70N 1119.555      1755.046      90       "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C2_3V3     22uF                               TopLayer    CAPACITOR_0805_2012M-70N 1083.360      1198.557      0        "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C2_1V8     22uF                               TopLayer    CAPACITOR_0805_2012M-70N 1296.375      1551.319      0        "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C3_3V3     22uF                               TopLayer    CAPACITOR_0805_2012M-70N 1207.913      1209.556      90       "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C3_1V8     22uF                               TopLayer    CAPACITOR_0805_2012M-70N 1547.825      1717.611      270      "Passive - Capacitor, X5R, 22uF Max, 6.3V, 0805 (2012 Metric), ±20%, -55°C ~ 85°C. 8.8uF @ 5V"                       
C4_3V3     22pF                               TopLayer    CAPACITOR_0805_2012M-70N 925.829       1201.639      0        "Generic Capacitor"                                                                                                  
C4_1V8     22pF                               TopLayer    CAPACITOR_0805_2012M-70N 1124.974      1547.910      0        "Generic Capacitor"                                                                                                  
L1_3V3     DFE322520F-2R2M=P2                 TopLayer    INDC3225X200N            1217.454      1381.200      90       "2.2 uH Shielded Wirewound Inductor 3.3 A 40mOhm Max 1210 (3225 Metric)"                                             
L1_1V8     DFE322520F-2R2M=P2                 TopLayer    INDC3225X200N            1427.530      1681.159      90       "2.2 uH Shielded Wirewound Inductor 3.3 A 40mOhm Max 1210 (3225 Metric)"                                             
R1_1V8     200k                               TopLayer    RESISTOR_0805_2012M-50N  1293.096      1634.510      0        "Passive - Resistor Series, 0805, 0.5%, 10 - 1M, E24, 0.063W, 1/8W, ±25ppm/°C, -55°C ~ 155°C, 0805 (2012 Metric)"    
R1_3V3     910k                               TopLayer    RESISTOR_0805_2012M-50N  1079.124      1288.649      0        "Passive - Resistor Series, 0805, 0.5%, 10 - 1M, E24, 0.063W, 1/8W, ±25ppm/°C, -55°C ~ 155°C, 0805 (2012 Metric)"    
R2_3V3     200k                               TopLayer    RESISTOR_0805_2012M-50N  921.895       1288.427      0        "Passive - Resistor Series, 0805, 0.5%, 10 - 1M, E24, 0.063W, 1/8W, ±25ppm/°C, -55°C ~ 155°C, 0805 (2012 Metric)"    
R2_1V8     100k                               TopLayer    RESISTOR_0805_2012M-50N  1121.040      1634.698      0        "Passive - Resistor Series, 0805, 0.5%, 10 - 1M, E24, 0.063W, 1/8W, ±25ppm/°C, -55°C ~ 155°C, 0805 (2012 Metric)"    
U1_1V8     AP3445LW6-7                        TopLayer    SOT23-6N-1.4MM           1281.835      1743.739      180      "IC - Regulator, Buck, 2A, 2.7V to 5.5V In, 0.6V to Vin Out, SOT23-6"                                                
U1_3V3     AP3445LW6-7                        TopLayer    SOT23-6N-1.4MM           1067.863      1397.878      180      "IC - Regulator, Buck, 2A, 2.7V to 5.5V In, 0.6V to Vin Out, SOT23-6"                                                
